,2022/05/16 上午 11:51:46 
88,00,11
88,01,7A
88,02,C8
88,03,0A
88,04,16
88,05,00
88,06,32
88,07,C0
88,08,10
88,09,24
88,0A,48
88,0B,C0
88,0C,03
88,0D,50
88,0E,00
88,0F,00
88,10,00
88,11,40
88,12,40
88,13,00
88,14,40
88,15,03
88,16,D3
88,17,80
88,18,29
88,19,38
88,1A,47
88,1B,00
88,1C,08
88,1D,98
88,1E,80
88,1F,80
88,20,38
88,21,46
88,22,36
88,23,3C
88,24,04
88,25,FE
88,26,05
88,27,2D
88,28,00
88,29,48
88,2A,30
88,2B,60
88,2C,0A
88,2D,44
88,2E,40
88,2F,06
88,30,29
88,31,65
88,32,78
88,33,16
88,34,00
88,35,05
88,36,DC
88,37,00
88,38,00
88,39,1C
88,3A,22
88,3B,05
88,3C,00
88,3D,60
88,3E,00
88,3F,00
88,40,01
88,41,01
88,42,00
88,43,12
88,44,07
88,45,49
88,46,00
88,47,00
88,48,80
88,49,00
88,4A,00
88,4B,00
88,4C,00
88,4D,0F
88,4E,0F
88,4F,00
88,50,00
88,51,11
88,52,22
88,53,33
88,54,00
88,55,00
88,56,00
88,57,00
88,58,00
88,59,00
88,5A,00
88,5B,00
88,5C,00
88,5D,00
88,5E,00
88,5F,00
88,60,00
88,61,00
88,62,00
88,63,00
88,64,00
88,65,00
88,66,00
88,67,00
88,68,00
88,69,00
88,6A,00
88,6B,00
88,6C,00
88,6D,00
88,6E,00
88,6F,44
88,70,00
88,71,00
88,72,00
88,73,00
88,74,00
88,75,00
88,76,00
88,77,00
88,78,00
88,79,00
88,7A,00
88,7B,00
88,7C,00
88,7D,00
88,7E,00
88,7F,00
88,80,00
88,81,00
88,82,00
88,83,00
88,84,00
88,85,00
88,86,00
88,87,00
88,88,00
88,89,00
88,8A,00
88,8B,00
88,8C,00
88,8D,00
88,8E,00
88,8F,00
88,90,00
88,91,00
88,92,00
88,93,00
88,94,00
88,95,00
88,96,00
88,97,00
88,98,00
88,99,00
88,9A,00
88,9B,00
88,9C,00
88,9D,00
88,9E,00
88,9F,00
88,A0,00
88,A1,00
88,A2,00
88,A3,00
88,A4,00
88,A5,00
88,A6,00
88,A7,27
88,A8,00
88,A9,00
88,AA,00
88,AB,00
88,AC,00
88,AD,00
88,AE,00
88,AF,00
88,B0,00
88,B1,00
88,B2,00
88,B3,FA
88,B4,00
88,B5,00
88,B6,00
88,B7,00
88,B8,00
88,B9,00
88,BA,00
88,BB,00
88,BC,00
88,BD,00
88,BE,80
88,BF,00
88,C0,00
88,C1,00
88,C2,0E
88,C3,0F
88,C4,10
88,C5,11
88,C6,24
88,C7,15
88,C8,97
88,C9,00
88,CA,00
88,CB,07
88,CC,08
88,CD,00
88,CE,00
88,CF,04
88,D0,00
88,D1,00
88,D2,60
88,D3,10
88,D4,06
88,D5,BE
88,D6,39
88,D7,27
88,D8,00
88,D9,00
88,DA,00
88,DB,00
88,DC,00
88,DD,00
88,DE,00
88,DF,00
88,E0,00
88,E1,00
88,E2,00
88,E3,00
88,E4,00
88,E5,00
88,E6,00
88,E7,00
88,E8,00
88,E9,00
88,EA,00
88,EB,00
88,EC,00
88,ED,00
88,EE,00
88,EF,00
88,F0,00
88,F1,10
88,F2,00
88,F3,00
88,F4,00
88,F5,F0
88,F6,00
88,F7,11
88,F8,22
88,F9,33
88,FA,88
88,FB,88
88,FC,00
88,FD,0C
88,FE,28
88,FF,27
